Day,Campaign name,Ad name,Amount Spent,Impressions,Reach,Frequency,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate)
2026-06-13,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 01 — Cópia,28.8,1658,0,0,17.37,13,2.22,0.78
2026-06-13,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 02,1.87,103,0,0,18.16,2,0.94,1.94
2026-06-13,[RE] [Compra] [Frio] [Validação] [Estáticos] - ABO,[RE] AD-E: 03 — Cópia,0.31,14,0,0,22.14,0,0,0.0
2026-06-13,[RE] [Compra] [Frio] [Validação] [Vídeos] - ABO,[RE] AD-V: 01,36.92,894,0,0,41.3,16,2.31,1.79
2026-06-13,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 02,33.65,1739,0,0,19.35,27,1.25,1.55
2026-06-13,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 03,0.04,4,0,0,10.0,0,0,0.0
2026-06-13,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,0.03,1,0,0,30.0,0,0,0.0
2026-06-13,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 04,15.85,581,0,0,27.28,5,3.17,0.86
2026-06-13,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 05,3.74,254,0,0,14.72,2,1.87,0.79
2026-06-13,[RE] [Compra] [Quente] [Validação] [Vídeos] - ABO,[RE] AD-V: 07,5.25,127,0,0,41.34,3,1.75,2.36
2026-06-14,[INSTA] [Seguidores] [Frio] - ABO,[INSTA] AD-V: Flexibilidade Cognitiva,48.61,8719,0,0,5.58,942,0.05,10.8
2026-06-14,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-E: 02,3.57,190,0,0,18.79,2,1.78,1.05
2026-06-14,[RE] [Compra] [Frio] [Melhores Criativos] - CBO,[RE] AD-V: 01,84.77,2654,0,0,31.94,37,2.29,1.39
